movie,rating,imdb,oscar_wins,oscar_noms (includes wins),rottentomatoes_critics,rottentomatoes_audience,"boxoffice (box office mojo, domestic opening)",bechdel,peirce,landau,feldman,villareal,hagen,ko,villarobos,waithe,koeze_dottle,uphold,white,rees-davies
Bad Moms,R,6.2,0,0,0.58,0.63,23817340,0,0,0,1,0,0,0,1,0,0,1,1,1
Hidden Figures,PG,7.8,0,3,0.93,0.93,22800000,0,0,0,0,0,1,0,1,0,1,1,1,1
Independence Day: Resurgence,PG-13,5.2,0,0,0.3,0.3,41039944,0,0,1,0,0,1,0,1,0,0,1,1,1
Finding Dory,PG,7.3,0,0,0.94,0.84,135060273,0,0,1,0,0,0,1,1,1,1,1,1,0
Ghostbusters,PG-13,6.6,0,0,0.74,0.49,46018755,0,0,0,0,0,1,0,1,1,1,1,1,1
Allegiant,PG-13,5.7,0,0,0.11,0.41,29027348,0,0,1,0,0,1,0,1,1,1,1,1,1
Arrival,PG-13,7.9,1,8,0.94,0.82,24074047,0,0,1,0,0,1,1,1,1,0,1,1,1
Ice Age: Collision Course,PG,5.7,0,0,0.18,0.39,21373064,0,1,0,1,1,1,0,1,1,0,1,1,0
Kung Fu Panda 3,PG,7.1,0,0,0.87,0.78,41282042,0,1,0,0,1,1,0,1,1,1,1,1,0
Miss Peregrine's Home for Peculiar Children,PG-13,6.7,0,0,0.64,0.6,28871140,0,0,0,0,0,1,1,1,1,1,1,1,1
Sing,PG,7.1,0,0,0.72,0.72,35258145,0,0,1,1,1,1,0,1,1,0,1,1,0
The Boss,R,5.4,0,0,0.21,0.38,23586645,0,0,0,0,1,1,1,1,1,0,1,1,1
The Girl on the Train,R,6.5,0,0,0.44,0.48,24536265,0,0,1,0,0,1,1,1,1,0,1,1,1
Boo! A Madea Halloween,PG-13,4.6,0,0,0.19,0.53,28501448,0,0,1,1,1,1,0,1,0,0,1,1,1
Alice Through the Looking Glass,PG,6.2,0,0,0.29,0.48,26858726,0,0,1,0,1,1,1,1,1,1,1,1,0
Fantastic Beasts and Where to Find Them,PG-13,7.3,1,2,0.74,0.79,74403387,0,0,1,1,0,1,0,1,1,1,1,1,1
La La Land,PG-13,8,6,14,0.91,0.81,66289790,0,0,1,1,0,1,1,1,1,0,1,1,1
Now You See Me 2,PG-13,6.5,0,0,0.33,0.53,22383146,1,0,0,1,0,1,0,1,1,1,1,1,1
Passengers,PG-13,7,0,2,0.3,0.63,14869736,1,0,0,1,0,1,1,1,1,0,1,1,1
Pete's Dragon,PG,6.7,0,0,0.88,0.72,21514095,0,1,1,0,0,1,1,1,1,1,1,1,0
Sausage Party,R,6.1,0,0,0.82,0.5,34163534,0,0,1,1,1,1,0,1,1,1,1,1,0
Storks,PG,6.8,0,0,0.65,0.62,21311407,1,0,1,1,0,1,1,1,1,0,1,1,0
Suicide Squad,PG-13,5.9,1,1,0.26,0.59,133682248,0,0,1,1,1,1,0,1,1,1,1,1,0
The Conjuring 2,R,7.3,0,0,0.8,0.81,40406314,0,0,1,1,0,1,1,1,1,0,1,1,1
The Purge: Election Year,R,6,0,0,0.56,0.48,31515110,0,0,1,1,0,1,0,1,1,1,1,1,1
X-Men: Apocalypse,PG-13,6.9,0,0,0.47,0.65,65769562,0,0,0,1,0,1,1,1,1,1,1,1,1
10 Cloverfield Lane,PG-13,7.2,0,0,0.9,0.79,24727437,0,0,1,1,0,1,1,1,1,1,1,1,1
Batman v Superman: Dawn of Justice,PG-13,6.4,0,0,0.29,0.63,166007347,1,0,1,1,0,1,1,1,1,1,1,1,0
Captain America: Civil War,PG-13,7.8,0,0,0.9,0.89,179139142,0,0,1,1,1,1,1,1,1,1,1,1,0
Central Intelligence,PG-13,6.3,0,0,0.71,0.62,35535250,1,0,1,1,1,1,0,1,0,1,1,1,1
Don't Breathe,R,7.1,0,0,0.88,0.78,26411706,0,0,1,1,1,1,1,1,1,0,1,1,1
Hacksaw Ridge,R,8.1,2,6,0.84,0.91,15190758,1,1,0,1,0,1,1,1,1,1,1,1,0
Lights Out,PG-13,6.3,0,0,0.76,0.61,21688103,0,0,1,1,1,1,1,1,1,0,1,1,1
Moana,PG,7.6,0,2,0.95,0.89,56631401,0,0,1,1,1,1,0,1,1,1,1,1,1
Ride Along 2,PG-13,5.9,0,0,0.14,0.48,35243095,1,0,0,1,1,1,0,1,1,1,1,1,1
Star Trek Beyond,PG-13,7,0,1,0.86,0.8,59253211,1,0,1,1,1,1,0,1,1,1,1,1,0
Sully,PG-13,7.4,0,1,0.85,0.84,35028301,1,1,0,1,0,1,1,1,1,0,1,1,1
Teenage Mutant Ninja Turtles: Out of the Shadows,PG-13,6,0,0,0.38,0.46,35316382,0,1,0,1,0,1,1,1,1,1,1,1,1
The Angry Birds Movie,PG,6.3,0,0,0.43,0.46,38155177,1,1,0,1,0,1,0,1,1,1,1,1,1
The Magnificent Seven,PG-13,6.9,0,0,0.64,0.72,34703397,1,0,0,1,0,1,1,1,1,1,1,1,1
Trolls,PG,6.5,0,1,0.75,0.67,46581142,0,0,1,1,1,1,1,1,1,0,1,1,1
Zootopia,PG,8,1,1,0.98,0.92,75063401,0,0,1,1,0,1,1,1,1,1,1,1,1
Jason Bourne,PG-13,6.6,0,0,0.54,0.55,59215365,1,0,1,1,1,1,1,1,1,1,1,1,0
Rogue One,PG-13,7.8,0,2,0.84,0.86,155081681,0,0,1,1,1,1,1,1,1,1,1,1,1
The Accountant,R,7.3,0,0,0.51,0.76,24710273,1,0,1,1,1,1,0,1,1,1,1,1,1
The Jungle Book,PG,7.4,1,1,0.94,0.86,103261464,1,1,0,1,1,1,0,1,1,1,1,1,1
The Legend of Tarzan,PG-13,6.2,0,0,0.36,0.58,38527856,1,0,1,1,0,1,1,1,1,1,1,1,1
Deadpool,R,8,0,0,0.85,0.9,132434639,1,1,1,1,1,1,1,1,1,0,1,1,1
Doctor Strange,PG-13,7.5,0,1,0.89,0.85,85058311,1,1,1,1,1,1,1,1,1,1,1,1,0
The Secret Life of Pets,PG,6.5,0,0,0.72,0.62,104352905,1,0,1,1,1,1,1,1,1,1,1,1,1
